Date,Equity
2023-03-31,997027.9248613748
2023-04-06,998924.122580051
2023-04-07,1000287.5371337956
2023-04-10,1026938.7877003776
2023-04-11,1032256.9135245391
2023-04-12,1046673.0814342159
2023-04-13,1019535.1371589507
2023-04-14,1032030.9410919568
2023-04-17,1034748.1820268206
2023-04-18,1024668.8875562178
2023-04-19,1027993.5625125848
2023-04-20,1009123.3258639188
2023-04-21,985527.6752259876
2023-04-24,999409.5962872365
2023-04-25,965490.0709536384
2023-04-26,977366.3860698163
2023-04-27,995762.0467637039
2023-04-28,1004757.2568489548
2023-05-02,1039502.3044470475
2023-05-03,1024529.725668555
2023-05-04,1030808.7083562912
2023-05-05,1029094.9652504678
2023-05-08,1039513.8182457115
2023-05-09,1041688.4712413645
2023-05-10,1041688.4712413645
2023-05-11,1041688.4712413645
2023-05-12,1041688.4712413645
2023-05-15,1041688.4712413645
2023-05-16,1041688.4712413645
2023-05-17,1044887.6495802805
2023-05-18,1069114.3212265894
2023-05-19,1111467.8831551292
2023-05-22,1101126.180681435
2023-05-23,1118759.3479759796
2023-05-24,1130304.4094304296
2023-05-25,1185895.1368264495
2023-05-26,1186581.9859796031
2023-05-29,1220737.4267586255
2023-05-30,1219361.5335943657
2023-05-31,1226796.6009043793
2023-06-01,1245711.3729571067
2023-06-02,1275557.3564921534
2023-06-05,1273778.5724396177
2023-06-06,1272942.9956318075
2023-06-07,1321908.1416749437
2023-06-08,1287449.7861592285
2023-06-09,1334041.9153288028
2023-06-12,1325656.6636821865
2023-06-13,1361245.0111406164
2023-06-14,1383636.6350467529
2023-06-15,1439819.4629841011
2023-06-16,1464480.4854111474
2023-06-19,1458003.0242374684
2023-06-20,1450968.3453865647
2023-06-21,1470180.3010319176
2023-06-26,1447576.041840714
2023-06-27,1394292.7641447494
2023-06-28,1396033.949429739
2023-06-29,1428429.1291465706
2023-06-30,1456984.1595335398
2023-07-03,1511649.010502569
2023-07-04,1577638.9396305755
2023-07-05,1548658.3861490698
2023-07-06,1550178.051624169
2023-07-07,1535026.7047495546
2023-07-10,1552074.839681704
2023-07-11,1620084.0341079049
2023-07-12,1687969.4438193392
2023-07-13,1752003.8269806672
2023-07-14,1837428.5906067092
2023-07-17,1846535.1248089976
2023-07-18,1833670.183115185
2023-07-19,1797553.092328151
2023-07-20,1860909.1600606323
2023-07-21,2004831.6941691157
2023-07-24,2051297.2605944579
2023-07-25,2030641.2279192142
2023-07-26,2022566.6576936338
2023-07-27,2034318.6852821044
2023-07-28,2101209.1049481416
2023-07-31,2010598.3006727586
2023-08-01,1967663.1745000416
2023-08-02,1808686.275489061
2023-08-04,1815331.1934654147
2023-08-07,1927624.463791297
2023-08-08,1925216.2371446367
2023-08-09,1917664.2375086732
2023-08-10,1811543.787935732
2023-08-11,1839956.7083105198
2023-08-14,1818572.6236438388
2023-08-15,1896908.442715509
2023-08-16,1971349.3584158546
2023-08-17,2017390.2734303356
2023-08-18,1953607.8605340803
2023-08-21,1984542.9834368238
2023-08-22,2014612.7255966417
2023-08-23,2045107.8525294478
2023-08-24,2046324.99671234
2023-08-25,2005793.8363989573
2023-08-28,1989931.354266252
2023-08-29,1990254.7340889284
2023-08-30,1994191.5938582614
2023-08-31,2007886.2556349922
2023-09-01,1984706.9902230168
2023-09-04,1984706.9902230168
2023-09-05,1984706.9902230168
2023-09-06,1984706.9902230168
2023-09-07,1984706.9902230168
2023-09-08,1984706.9902230168
2023-09-11,1984706.9902230168
2023-09-12,1984706.9902230168
2023-09-13,1984706.9902230168
2023-09-14,1985776.2474183314
2023-09-15,2003835.4661048814
2023-09-18,1978914.1135790017
2023-09-19,1983556.4505163527
2023-09-20,1934824.860649651
2023-09-21,1880655.1493009483
2023-09-22,1885842.6910151083
2023-09-25,1901532.112480933
2023-09-26,1906546.866588762
2023-09-27,1921541.1546139254
2023-09-28,1924314.984120281
2023-10-02,1924497.2071562058
2023-10-03,1906358.0305557342
2023-10-04,1907905.8010978221
2023-10-05,1935239.9625143276
2023-10-06,1945679.0465567913
2023-10-11,1950849.935580945
2023-10-12,1967252.9838962595
2023-10-13,1979596.1131191314
2023-10-16,1963447.7696253173
2023-10-17,1923707.946840723
2023-10-18,1863664.441884094
2023-10-19,1865098.316591264
2023-10-20,1856375.1293840918
2023-10-23,1842763.109554687
2023-10-24,1835660.8276458092
2023-10-25,1833545.9305596778
2023-10-26,1817500.2657456954
2023-10-27,1807776.6557835394
2023-10-30,1826310.352552977
2023-10-31,1827963.0836485662
2023-11-01,1830442.193940958
2023-11-02,1836226.7800735363
2023-11-03,1822370.4725565976
2023-11-06,1853880.09273867
2023-11-07,1897002.7235373675
2023-11-08,1906050.7078458979
2023-11-09,1917869.8817401424
2023-11-10,1903203.9395586373
2023-11-13,1916425.1792195237
2023-11-14,1925291.1373906117
2023-11-15,1924792.027975067
2023-11-16,1898746.8306015907
2023-11-17,1923246.9147397422
2023-11-20,1927324.5720994337
2023-11-21,1940003.1922529452
2023-11-22,1951526.9009618496
2023-11-23,1926034.7958369502
2023-11-24,1920443.9699408896
2023-11-27,1888671.1941367644
2023-11-28,1917929.9257201492
2023-11-29,1930187.7936599334
2023-11-30,1929018.137357406
2023-12-01,1934811.0034063405
2023-12-04,1933420.4726259573
2023-12-05,1957287.5185010736
2023-12-06,1962404.8210874235
2023-12-07,1964289.4231720264
2023-12-08,2011545.0613267901
2023-12-11,1982406.5664317869
2023-12-12,2002534.5135522003
2023-12-13,1999983.357785243
2023-12-14,2020408.2236734382
2023-12-15,2013068.7239592934
2023-12-18,2000245.366058122
2023-12-19,1985685.8042865451
2023-12-20,1988310.5488047898
2023-12-21,1996255.1779232067
2023-12-22,1996212.638100489
2023-12-25,1975850.3251790325
2023-12-26,1994840.8888814226
2023-12-27,2010929.1261217885
2023-12-28,2028817.151791248
2023-12-29,2020671.1213627441
2024-01-02,2021142.344242379
2024-01-03,1987231.4402967733
2024-01-04,2002527.4206799434
2024-01-05,2000389.8156099932
2024-01-08,1983178.013179426
2024-01-09,1921373.8161396724
2024-01-10,1883293.1567429933
2024-01-11,1896136.942527631
2024-01-12,1896927.825429088
2024-01-15,1903320.7472389238
2024-01-16,1905467.093669076
2024-01-17,1879452.8087754268
2024-01-18,1912445.9544457805
2024-01-19,1916220.232615398
2024-01-22,1951686.485742415
2024-01-23,1971277.8253153248
2024-01-24,1963818.4106270198
2024-01-25,1964661.8584201722
2024-01-26,1938650.557124002
2024-01-29,1953692.2021253
2024-01-30,1982626.2328716815
2024-01-31,1957419.9005968194
2024-02-01,2035113.2493008547
2024-02-02,2090404.1729198508
2024-02-05,2124970.7969416124
2024-02-15,2210900.9560186644
2024-02-16,2168235.615360958
2024-02-19,2150362.724861082
2024-02-20,2143977.854814799
2024-02-21,2115445.624301536
2024-02-22,2131397.6350780358
2024-02-23,2106999.728042437
2024-02-26,2100486.625521887
2024-02-27,2042666.4970909539
2024-02-29,2096272.1493199582
2024-03-01,2113069.5577416127
2024-03-04,2142659.228354394
2024-03-05,2191198.5626883423
2024-03-06,2251816.395601342
2024-03-07,2251537.7661111588
2024-03-08,2177626.800930241
2024-03-11,2186465.0538786873
2024-03-12,2210014.418179604
2024-03-13,2204648.922942371
2024-03-14,2149842.9306671326
2024-03-15,2154511.9498485704
2024-03-18,2238380.8709796583
2024-03-19,2244384.1904626894
2024-03-20,2218560.652758822
2024-03-21,2242374.902594102
2024-03-22,2226142.720527842
2024-03-25,2241012.8659880124
2024-03-26,2193172.3410022575
2024-03-27,2220317.0895067547
2024-03-28,2207604.4527992383
2024-03-29,2210574.790258349
2024-04-01,2202346.4009242966
2024-04-02,2258011.1483206595
2024-04-03,2265388.319702435
2024-04-08,2259246.224324742
2024-04-09,2290401.503030194
2024-04-10,2263801.4711879464
2024-04-11,2240747.1459752326
2024-04-12,2256464.1556527643
2024-04-15,2198307.778956334
2024-04-16,2102346.9448244637
2024-04-17,2182356.6248526755
2024-04-18,2214789.568329897
2024-04-19,2130878.0214062883
2024-04-22,2049336.9911351206
2024-04-23,2068724.8991635647
2024-04-24,2165204.890597852
2024-04-25,2137466.7636034116
2024-04-26,2173714.322344885
2024-04-29,2176925.2122539864
2024-04-30,2164741.933617587
2024-05-02,2158781.0035167634
2024-05-03,2160604.4497701856
2024-05-06,2174862.048333135
2024-05-07,2188622.4041211717
2024-05-08,2178599.3462309395
2024-05-09,2167950.4610476093
2024-05-10,2219413.482467739
2024-05-13,2222563.6089772186
2024-05-14,2239636.8010806497
2024-05-15,2265808.2930026874
2024-05-16,2338512.333352975
2024-05-17,2313478.072580503
2024-05-20,2290089.436049744
2024-05-21,2254503.6471746806
2024-05-22,2276622.181978097
2024-05-23,2282033.273558666
2024-05-24,2322910.6449356414
2024-05-27,2378319.947929738
2024-05-28,2418361.280546368
2024-05-29,2368270.2224577167
2024-05-30,2354749.994115607
2024-05-31,2284174.6501965644
2024-06-03,2335797.2524345745
2024-06-04,2316555.9547611466
2024-06-05,2388233.5247993893
2024-06-06,2423752.6042150557
2024-06-07,2452442.6509139007
2024-06-11,2361768.0480298735
2024-06-12,2342230.8131555766
2024-06-13,2385512.4072147286
2024-06-14,2462231.834515495
2024-06-17,2439198.3338960237
2024-06-18,2459211.9758450305
2024-06-19,2466380.771357515
2024-06-20,2519990.427490467
2024-06-21,2503179.0194040975
2024-06-24,2431981.717080634
2024-06-25,2451571.790127071
2024-06-26,2454818.2842687443
2024-06-27,2427248.154415289
2024-06-28,2460349.208933318
2024-07-01,2446879.344509761
2024-07-02,2429173.6228434197
2024-07-03,2452979.4511390193
2024-07-04,2471490.9625600735
2024-07-05,2429779.458926203
2024-07-08,2492329.2389660794
2024-07-09,2509823.262186097
2024-07-10,2525535.8423728636
2024-07-11,2535036.3482415504
2024-07-12,2479154.050756001
2024-07-15,2501890.0646509393
2024-07-16,2498213.7825369183
2024-07-17,2510424.044981307
2024-07-18,2451941.040088873
2024-07-19,2392667.7102131927
2024-07-22,2304208.515430515
2024-07-23,2357706.544082863
2024-07-26,2350473.882629586
2024-07-29,2349072.1210902114
2024-07-30,2365909.441566351
2024-07-31,2381235.368486333
2024-08-01,2427645.674984371
2024-08-02,2337666.4163504685
2024-08-05,2220161.738156145
2024-08-06,2227878.3545479826
2024-08-07,2244078.360417887
2024-08-08,2231631.11817371
2024-08-09,2248275.87048915
2024-08-12,2256241.5326000853
2024-08-13,2252932.8035114342
2024-08-14,2237848.7805592055
2024-08-15,2235405.4211647734
2024-08-16,2241635.5017564828
2024-08-19,2241273.2313507893
2024-08-20,2237818.7944980236
2024-08-21,2235459.8172743046
2024-08-22,2230681.2863690765
2024-08-23,2232860.4491541022
2024-08-26,2250751.9581181067
2024-08-27,2246676.8644708144
2024-08-28,2252397.1302612606
2024-08-29,2241582.6987449606
2024-08-30,2244946.0857050647
2024-09-02,2248795.0170196635
2024-09-03,2233371.0256868964
2024-09-04,2170606.1780180824
2024-09-05,2186590.443404996
2024-09-06,2207070.895804432
2024-09-09,2188951.949788523
2024-09-10,2179795.5597618595
2024-09-11,2181162.4393717586
2024-09-12,2201042.509878597
2024-09-13,2209891.2527664937
2024-09-16,2220637.3101538476
2024-09-18,2210564.0029259003
2024-09-19,2233541.9553094227
2024-09-20,2235278.2482760465
2024-09-23,2224250.4794818284
2024-09-24,2246727.8442365397
2024-09-25,2235451.800772415
2024-09-26,2221704.8747303584
2024-09-27,2216165.1799975615
2024-09-30,2184145.282856493
2024-10-01,2197452.296352942
2024-10-04,2123023.804703663
2024-10-07,2190350.12796711
2024-10-08,2194713.3386746724
2024-10-09,2213446.4347810815
2024-10-11,2203641.426602243
2024-10-14,2240208.4766277457
2024-10-15,2246117.0017350195
2024-10-16,2251012.073190309
2024-10-17,2272938.6347892545
2024-10-18,2271409.1266849455
2024-10-21,2291833.946276032
2024-10-22,2308593.2526481994
2024-10-23,2287526.253461232
2024-10-24,2225603.6865868657
2024-10-25,2268426.5185919716
2024-10-28,2240923.184856875
2024-10-29,2184335.693548278
2024-10-30,2192481.0441429904
2024-11-01,2198966.6502519334
2024-11-04,2217434.3929535826
2024-11-05,2234062.5054935906
2024-11-06,2268349.3110801815
2024-11-07,2290644.2871254357
2024-11-08,2290349.6327048168
2024-11-11,2280428.5124083757
2024-11-12,2228070.351587753
2024-11-13,2221779.5053735413
2024-11-14,2190033.649648916
2024-11-15,2155509.211130553
2024-11-18,2109926.274920989
2024-11-19,2184116.789375312
2024-11-20,2174163.5058780583
2024-11-21,2239212.4179515266
2024-11-22,2262586.1838071314
2024-11-25,2260866.619182091
2024-11-26,2240286.799902293
2024-11-27,2195499.8888864433
2024-11-28,2177228.2558609904
2024-11-29,2185353.0986892376
2024-12-02,2231014.206378257
2024-12-03,2267949.4826609637
2024-12-04,2309522.8255810053
2024-12-05,2293877.737302425
2024-12-06,2286165.5888987808
2024-12-09,2310655.3042042553
2024-12-10,2269860.175303289
2024-12-11,2274338.2363698212
2024-12-12,2287271.002185586
2024-12-13,2296092.9244538373
2024-12-16,2285679.987195221
2024-12-17,2286513.9855646924
2024-12-18,2296104.2106766184
2024-12-19,2290335.5909091495
2024-12-20,2262824.3366035847
