,Score
2891,3.2399999999999998
6285,3.0
2887,2.9799999999999995
3034,2.84
3533,2.8200000000000003
2360,2.8
2382,2.7600000000000002
1326,2.76
2383,2.68
3711,2.6599999999999997
2308,2.5999999999999996
2605,2.54
2882,2.54
3036,2.54
2412,2.5
3037,2.48
2379,2.46
2330,2.38
2345,2.3600000000000003
2357,2.3
3017,2.2800000000000002
6415,2.24
2368,2.2199999999999998
2615,2.08
2881,2.08
2603,2.02
2454,1.98
1301,1.92
2303,1.9000000000000001
2376,1.8600000000000003
3443,1.84
3231,1.8399999999999999
1519,1.7600000000000002
1303,1.76
2395,1.6800000000000002
3044,1.6600000000000001
6505,1.56
2301,1.5
2317,1.46
6239,1.46
2449,1.4200000000000002
2609,1.3800000000000001
6669,1.3199999999999998
3661,1.24
2404,1.2200000000000002
3481,1.2
2327,1.18
2344,1.04
2408,0.94
6770,0.7200000000000001
