Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
1519,2023-01-05,2023-01-06,47.58,42.27,-0.1176,🔴 停損,1,54.65,42.27
1519,2023-01-06,2023-01-16,45.26,39.94,-0.1236,🔴 停損,6,52.35,39.94
2201,2023-01-30,2023-02-01,67.66,75.88,0.1138,🟢 停利,2,75.88,61.49
3034,2023-01-10,2023-02-08,284.91,321.49,0.1207,🟢 停利,13,321.49,257.47
3443,2023-02-06,2023-02-09,790.83,923.12,0.1593,🟢 停利,3,923.12,691.62
8454,2023-01-06,2023-02-15,544.25,558.62,0.0194,⚪ 時間到期,20,623.45,484.84
1101,2023-01-16,2023-02-23,33.7,36.0,0.061,🟢 停利,20,36.0,31.97
5274O,2023-02-03,2023-02-23,2204.07,2501.2,0.1271,🟢 停利,14,2501.2,1981.22
3443,2023-02-09,2023-02-23,892.47,1044.87,0.1628,🟢 停利,10,1044.87,778.17
5274O,2023-02-23,2023-03-01,2373.61,2820.76,0.1803,🟢 停利,2,2820.76,2038.25
3529O,2023-02-03,2023-03-02,1673.01,1916.65,0.1378,🟢 停利,17,1916.65,1490.29
2201,2023-02-01,2023-03-03,75.52,71.33,-0.0619,⚪ 時間到期,20,84.54,68.75
6415,2023-02-03,2023-03-07,573.77,573.19,-0.0078,⚪ 時間到期,20,666.74,504.04
2303,2023-02-03,2023-03-07,41.69,42.81,0.0198,⚪ 時間到期,20,45.14,39.11
3035,2023-02-06,2023-03-08,183.78,180.29,-0.0257,⚪ 時間到期,20,210.02,164.09
1519,2023-02-23,2023-03-09,51.57,59.82,0.1521,🟢 停利,8,59.82,45.38
3661,2023-02-08,2023-03-10,947.43,973.8,0.0208,⚪ 時間到期,20,1086.18,843.36
2379,2023-02-15,2023-03-17,306.22,346.7,0.1245,🟢 停利,20,345.79,276.54
1504,2023-03-10,2023-03-22,31.87,35.31,0.1003,🟢 停利,8,35.31,29.29
2606,2023-03-03,2023-03-23,52.07,47.22,-0.0994,🔴 停損,14,58.55,47.22
1504,2023-03-23,2023-03-24,34.43,39.36,0.1355,🟢 停利,1,39.36,30.73
3443,2023-02-23,2023-03-27,1016.37,1141.07,0.115,⚪ 時間到期,20,1205.52,874.51
5274O,2023-03-01,2023-03-29,2712.7,2622.88,-0.0397,⚪ 時間到期,20,3231.47,2323.62
3481,2023-03-02,2023-03-30,14.56,14.35,-0.0214,⚪ 時間到期,20,16.41,13.18
2345,2023-03-07,2023-04-07,295.54,293.35,-0.0142,⚪ 時間到期,20,330.1,269.62
3034,2023-03-07,2023-04-07,346.9,360.08,0.0309,⚪ 時間到期,20,388.89,315.4
3529O,2023-03-08,2023-04-10,1897.38,1880.87,-0.0155,⚪ 時間到期,20,2237.5,1642.3
2356,2023-04-07,2023-04-10,30.76,28.73,-0.0722,🔴 停損,1,33.24,28.89
1519,2023-03-09,2023-04-11,58.45,68.16,0.1582,🟢 停利,20,68.16,51.16
3231,2023-03-29,2023-04-11,36.77,40.41,0.0914,🟢 停利,6,40.41,34.05
